SR_NUMBER,USER_ID,SR_TYPE,SR_TYPE_DESC,PRIORITY,GROUP_ID,DEPT_CODE,DEPT_DIVISION,ADDRESS,NEIGHBORHOOD,ZIPCODE,METHOD_RECEIVED,DATE_CREATED,TIME_RECEIVED,DATE_CLOSED,SR_STATUS,SR_STATUS_FLAG,DATE_STATUS_CHANGE,TIME_STATUS_CHANGE,DATE_LAST_UPDATE,TIME_LAST_UPDATE,PLANNED_HOURS_TOSTART_RESPONSE,PLANNED_RESPONSE_TIME,PLANNED_END_DATE,PLANNED_COMPLETION_DAYS,DATE_DISPATCHED,TIME_DISPATCHED,DATE_REVISED_COMPLETION,DATE_REVISED_COMPLETION_REASON,COLLECTION_SPECIAL_DATE,COLLECTION_DAY,COLLECTION_ROUTE,COLLECTION_DIST,TRANSFER_ALLOW,TRANSFERED_NUM_TIMES,PROPTY_CITY_OWNED_YN,PROPTY_CITY_DEPT_OWNER,STREET_NO,STREET_DIRECTION,STREET_NAME,CITY_ID,STRUCTURE_ID,FLOOR_ID,UNIT_ID,MUNITWNSHP,REQUEST_RETURN_CALL,NUM_BULKY_ITEMS,BULKY_ITEM_1,BULKY_ITEM_2,BULKY_ITEM_3,BULKY_ITEM_4,BULKY_ITEM_5,NUM_TIRES,NUM_FREONS,NUM_SOFABEDS,NUM_POTHOLES,POLICE_DISTRICT,POLICE_RPT_AREA,TRASH_RECYCLE_CART_ID,LATITUDE,LONGITUDE,DATE_TIME_RECEIVED,COMMUNITY_COUNCIL_NEIGHBORHOOD
SR25000441,MOBILE,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,5808 GLENVIEW AV,COLLEGE HILL,45224.0,INTERNET,2025 Jan 02 12:00:00 AM,3:00 PM,2025 Jan 03 12:00:00 AM,CLOSED,CLOSED,2025 Jan 03 12:00:00 AM,10:55 AM,2025 Jan 03 12:00:00 AM,10:55 AM,36,1/4/2025,2025 Jan 14 12:00:00 AM,12,,,,,,THURSDAY,THU24,1,Y,0,,,"5,808",,GLENVIEW AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,1,3.0,98,,39.19712584,-84.55633979,1/2/2025,COLLEGE HILL
SR25000146,CCSRWEB,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,3352 PARKCREST LN,WESTWOOD,45211.0,INTERNET,2025 Jan 02 12:00:00 AM,6:31 AM,2025 Jan 02 12:00:00 AM,CLOSED,CLOSED,2025 Jan 02 12:00:00 AM,9:24 AM,2025 Jan 02 12:00:00 AM,9:24 AM,36,1/3/2025,2025 Jan 14 12:00:00 AM,12,,,,,,THURSDAY,,,Y,0,,,"3,352",,PARKCREST LN,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,5,3.0,98,,39.14767075,-84.62030926,1/2/2025,WESTWOOD
SR25000144,JPRESNELL,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,3704 BROTHERTON RD,OAKLEY,45209.0,RADIO,2025 Jan 02 12:00:00 AM,5:40 AM,2025 Jan 02 12:00:00 AM,CLOSED,CLOSED,2025 Jan 02 12:00:00 AM,5:40 AM,2025 Jan 02 12:00:00 AM,5:40 AM,36,1/3/2025,2025 Jan 14 12:00:00 AM,12,,,,,,WEDNESDAY,WED20,1,Y,0,,,"3,704",,BROTHERTON RD,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,2.0,97,,39.15462573,-84.41340123,1/2/2025,OAKLEY
SR25000184,TMINTER,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,7311 POPLAR LN,CARTHAGE,45216.0,311 CALL,2025 Jan 02 12:00:00 AM,8:39 AM,2025 Jan 03 12:00:00 AM,CLOSED,CLOSED,2025 Jan 03 12:00:00 AM,11:32 AM,2025 Jan 03 12:00:00 AM,11:32 AM,36,1/3/2025,2025 Jan 14 12:00:00 AM,12,,,,,,,,,Y,0,Y,DOTE,"7,311",,POPLAR LN,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,2,4.0,99,,39.19628844,-84.477168,1/2/2025,CARTHAGE
SR25000562,JMOORE,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,200 I-71 SB EXWY,MT. ADAMS,45202.0,311 CALL,2025 Jan 03 12:00:00 AM,7:45 AM,2025 Jan 13 12:00:00 AM,CLOSED,CLOSED,2025 Jan 13 12:00:00 AM,2:31 AM,2025 Jan 13 12:00:00 AM,2:31 AM,36,1/4/2025,2025 Jan 15 12:00:00 AM,12,,,,,,,,,Y,0,,,200,,I-71 SB EXWY,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,8,6.0,119,,39.11118005,-84.50118586,1/3/2025,WALNUT HILLS
SR25000888,MOBILE,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,6301 GRACELY DR,SAYLER PARK,45233.0,INTERNET,2025 Jan 03 12:00:00 AM,3:58 PM,2025 Jan 14 12:00:00 AM,CLOSED,CLOSED,2025 Jan 14 12:00:00 AM,2:24 PM,2025 Jan 14 12:00:00 AM,2:24 PM,36,1/5/2025,2025 Jan 15 12:00:00 AM,12,,,,,,MONDAY,MON01,3,Y,0,,,"6,301",,GRACELY DR,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,1,3.0,98,,39.10592289,-84.68678746,1/3/2025,SAYLER PARK
SR25000769,ZGALLION,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,2412 OBSERVATORY AV,HYDE PARK,45208.0,311 CALL,2025 Jan 03 12:00:00 AM,1:12 PM,2025 Jan 13 12:00:00 AM,CLOSED,CLOSED,2025 Jan 13 12:00:00 AM,4:50 AM,2025 Jan 13 12:00:00 AM,4:50 AM,36,1/5/2025,2025 Jan 15 12:00:00 AM,12,,,,,,,,,Y,0,,,"2,412",,OBSERVATORY AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,2.0,97,,39.13850286,-84.45436652,1/3/2025,HYDE PARK
SR25000898,MOBILE,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,3440 DURY AV,AVONDALE,45229.0,INTERNET,2025 Jan 03 12:00:00 AM,4:15 PM,2025 Jan 17 12:00:00 AM,CLOSED,CLOSED,2025 Jan 17 12:00:00 AM,4:53 AM,2025 Jan 17 12:00:00 AM,4:53 AM,36,1/5/2025,2025 Jan 15 12:00:00 AM,12,,,,,,TUESDAY,,,Y,0,,,"3,440",,DURY AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,1,4.0,99,,39.14378325,-84.50539027,1/3/2025,AVONDALE
SR25000614,CCSRWEB,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,6410 HAMILTON AV,COLLEGE HILL,45224.0,INTERNET,2025 Jan 03 12:00:00 AM,9:22 AM,2025 Jan 14 12:00:00 AM,CLOSED,CLOSED,2025 Jan 15 12:00:00 AM,8:40 AM,2025 Jan 15 12:00:00 AM,8:40 AM,36,1/4/2025,2025 Jan 15 12:00:00 AM,12,,,,,,THURSDAY,THU28,1,Y,0,,,"6,410",,HAMILTON AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,1,3.0,98,,39.2075162,-84.54758949,1/3/2025,COLLEGE HILL
SR25000818,MOBILE,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,3403 MCFARLAN RD,WESTWOOD,45211.0,INTERNET,2025 Jan 03 12:00:00 AM,2:17 PM,2025 Jan 13 12:00:00 AM,CLOSED,CLOSED,2025 Jan 13 12:00:00 AM,4:31 AM,2025 Jan 13 12:00:00 AM,4:31 AM,36,1/5/2025,2025 Jan 15 12:00:00 AM,12,,,,,,THURSDAY,THU08,2,Y,0,,,"3,403",,MCFARLAN RD,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,32,3.0,98,,39.14889204,-84.59406198,1/3/2025,WESTWOOD
SR25000939,CCSRWEB,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,2919 PRICE AV,EAST PRICE HILL,45205.0,INTERNET,2025 Jan 03 12:00:00 AM,9:53 PM,2025 Jan 15 12:00:00 AM,CLOSED,CLOSED,2025 Jan 15 12:00:00 AM,4:11 AM,2025 Jan 15 12:00:00 AM,4:11 AM,36,1/5/2025,2025 Jan 15 12:00:00 AM,12,,,,,,MONDAY,,,Y,0,,,"2,919",,PRICE AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.1065928,-84.56077831,1/3/2025,EAST PRICE HILL
SR25000601,DBENNETT,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,5811 GLENVIEW AV,COLLEGE HILL,45224.0,311 CALL,2025 Jan 03 12:00:00 AM,9:02 AM,2025 Jan 21 12:00:00 AM,CLOSED,CLOSED,2025 Jan 21 12:00:00 AM,11:45 AM,2025 Jan 21 12:00:00 AM,11:45 AM,36,1/4/2025,2025 Jan 15 12:00:00 AM,12,,,,,,THURSDAY,THU24,1,Y,0,,,"5,811",,GLENVIEW AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.19719195,-84.5567935,1/3/2025,COLLEGE HILL
SR25000743,ZGALLION,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,2954 CENTRAL PKWY,CUF,45225.0,311 CALL,2025 Jan 03 12:00:00 AM,12:43 PM,2025 Jan 31 12:00:00 AM,CLOSED,CLOSED,2025 Jan 31 12:00:00 AM,2:20 PM,2025 Jan 31 12:00:00 AM,2:20 PM,36,1/5/2025,2025 Jan 15 12:00:00 AM,12,,,,,,MONDAY,MON29,2,Y,0,,,"2,954",,CENTRAL PKWY,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,1,1.0,2,,39.13705495,-84.53234498,1/3/2025,CUF
SR25000674,TMINTER,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,4525 CLEARVIEW AV,WEST PRICE HILL,45205.0,311 CALL,2025 Jan 03 12:00:00 AM,10:58 AM,2025 Jan 29 12:00:00 AM,CLOSED,CLOSED,2025 Jan 29 12:00:00 AM,4:42 AM,2025 Jan 29 12:00:00 AM,4:42 AM,36,1/4/2025,2025 Jan 15 12:00:00 AM,12,,,,,,MONDAY,MON09,1,Y,0,,,"4,525",,CLEARVIEW AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.11146017,-84.59291581,1/3/2025,WEST PRICE HILL
SR25000794,KBEHANAN,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,1316 SUNSET AV,WEST PRICE HILL,45205.0,311 CALL,2025 Jan 03 12:00:00 AM,1:44 PM,2025 Jan 29 12:00:00 AM,CLOSED,CLOSED,2025 Jan 29 12:00:00 AM,4:28 AM,2025 Jan 29 12:00:00 AM,4:28 AM,36,1/5/2025,2025 Jan 15 12:00:00 AM,12,,,,,,,,,Y,0,Y,DOTE,"1,316",,SUNSET AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.11838638,-84.58530925,1/3/2025,WEST PRICE HILL
SR25000556,DBENNETT,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,2837 BEEKMAN ST,NORTH FAIRMOUNT,45225.0,311 CALL,2025 Jan 03 12:00:00 AM,6:43 AM,2025 Jan 03 12:00:00 AM,CLOSED,CLOSED,2025 Jan 03 12:00:00 AM,12:26 PM,2025 Jan 03 12:00:00 AM,12:26 PM,36,1/4/2025,2025 Jan 15 12:00:00 AM,12,,,,,,,,,Y,0,,,"2,837",,BEEKMAN ST,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,2,3.0,98,,39.13689084,-84.54806826,1/3/2025,NORTH FAIRMOUNT
SR25000724,NMUNIZ,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,3262 SPRING GROVE AV,CAMP WASHINGTON,45225.0,RADIO,2025 Jan 03 12:00:00 AM,12:14 PM,2025 Jan 03 12:00:00 AM,CLOSED,CLOSED,2025 Jan 03 12:00:00 AM,12:14 PM,2025 Jan 03 12:00:00 AM,12:14 PM,36,1/5/2025,2025 Jan 15 12:00:00 AM,12,,,,,,,,,Y,0,,,"3,262",,SPRING GROVE AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.14316727,-84.54100356,1/3/2025,CAMP WASHINGTON
SR25000654,JMOORE,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,2412 OBSERVATORY AV,HYDE PARK,45208.0,311 CALL,2025 Jan 03 12:00:00 AM,10:31 AM,2025 Jan 13 12:00:00 AM,CLOSED,CLOSED,2025 Jan 13 12:00:00 AM,5:18 AM,2025 Jan 13 12:00:00 AM,5:18 AM,36,1/4/2025,2025 Jan 15 12:00:00 AM,12,,,,,,,,,Y,0,,,"2,412",,OBSERVATORY AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,1,2.0,97,,39.13850286,-84.45436652,1/3/2025,HYDE PARK
SR25000807,MOBILE,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,4526 PADDOCK RD,NORTH AVONDALE - PADDOCK HILLS,45229.0,INTERNET,2025 Jan 03 12:00:00 AM,2:02 PM,2025 Jan 13 12:00:00 AM,CLOSED,CLOSED,2025 Jan 13 12:00:00 AM,3:12 AM,2025 Jan 13 12:00:00 AM,3:12 AM,36,1/5/2025,2025 Jan 15 12:00:00 AM,12,,,,,,TUESDAY,TUE13,1,Y,0,,,"4,526",,PADDOCK RD,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,8,4.0,99,,39.16526388,-84.4789164,1/3/2025,PADDOCK HILLS
SR25001073,WISAACS,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,605 I-75 SB EXWY,CLIFTON,45232.0,311 CALL,2025 Jan 04 12:00:00 AM,7:01 PM,2025 Jan 15 12:00:00 AM,CLOSED,CLOSED,2025 Jan 15 12:00:00 AM,3:05 AM,2025 Jan 15 12:00:00 AM,3:05 AM,36,1/6/2025,2025 Jan 16 12:00:00 AM,12,,,,,,,,,Y,0,Y,DOTE,605,,I-75 SB EXWY,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,1,4.0,99,,39.16332668,-84.50932396,1/4/2025,SPRING GROVE VILLAGE
SR25001022,JMOORE,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,6365 COPPERLEAF LN,MT. WASHINGTON,45230.0,311 CALL,2025 Jan 04 12:00:00 AM,1:48 PM,2025 Jan 13 12:00:00 AM,CLOSED,CLOSED,2025 Jan 13 12:00:00 AM,3:07 AM,2025 Jan 13 12:00:00 AM,3:07 AM,36,1/6/2025,2025 Jan 16 12:00:00 AM,12,,,,,,WEDNESDAY,WED21,2,Y,0,,,"6,365",,COPPERLEAF LN,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,4,2.0,97,,39.10433046,-84.3817066,1/4/2025,MOUNT WASHINGTON
SR25000959,CCSRWEB,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,615 ELSINORE PL,PENDLETON,45202.0,INTERNET,2025 Jan 04 12:00:00 AM,8:17 AM,2025 Jan 17 12:00:00 AM,CLOSED,CLOSED,2025 Jan 17 12:00:00 AM,4:44 AM,2025 Jan 17 12:00:00 AM,4:44 AM,36,1/5/2025,2025 Jan 16 12:00:00 AM,12,,,,,,MONDAY,,,Y,0,,,615,,ELSINORE PL,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,6.0,119,,39.11274755,-84.50265464,1/4/2025,MOUNT AUBURN - WALNUT HILLS
SR25001064,MOBILE,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,3610 LACLEDE AV,EAST PRICE HILL,45205.0,INTERNET,2025 Jan 04 12:00:00 AM,5:53 PM,2025 Jan 15 12:00:00 AM,CLOSED,CLOSED,2025 Jan 15 12:00:00 AM,4:07 AM,2025 Jan 15 12:00:00 AM,4:07 AM,36,1/6/2025,2025 Jan 16 12:00:00 AM,12,,,,,,MONDAY,,,Y,0,,,"3,610",,LACLEDE AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.11202186,-84.57082215,1/4/2025,EAST PRICE HILL
SR25001058,MOBILE,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,6307 CARY AV,COLLEGE HILL,45224.0,INTERNET,2025 Jan 04 12:00:00 AM,4:27 PM,2025 Jan 14 12:00:00 AM,CLOSED,CLOSED,2025 Jan 14 12:00:00 AM,3:19 PM,2025 Jan 14 12:00:00 AM,3:19 PM,36,1/6/2025,2025 Jan 16 12:00:00 AM,12,,,,,,THURSDAY,THU28,1,Y,0,,,"6,307",,CARY AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,1,3.0,98,,39.20690802,-84.55030397,1/4/2025,COLLEGE HILL
SR25001066,MOBILE,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,1660 SUNSET AV,WEST PRICE HILL,45205.0,INTERNET,2025 Jan 04 12:00:00 AM,6:04 PM,2025 Jan 29 12:00:00 AM,CLOSED,CLOSED,2025 Jan 29 12:00:00 AM,4:41 AM,2025 Jan 29 12:00:00 AM,4:41 AM,36,1/6/2025,2025 Jan 16 12:00:00 AM,12,,,,,,,,,Y,0,,,"1,660",,SUNSET AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.11906396,-84.58458896,1/4/2025,WEST PRICE HILL
SR25001018,KBEHANAN,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,6508 COPPERLEAF LN,MT. WASHINGTON,45230.0,311 CALL,2025 Jan 04 12:00:00 AM,1:37 PM,2025 Jan 13 12:00:00 AM,CLOSED,CLOSED,2025 Jan 13 12:00:00 AM,3:09 AM,2025 Jan 13 12:00:00 AM,3:09 AM,36,1/6/2025,2025 Jan 16 12:00:00 AM,12,,,,,,,,,Y,0,Y,DOTE,"6,508",,COPPERLEAF LN,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,4,2.0,97,,39.10078209,-84.37833389,1/4/2025,MOUNT WASHINGTON
SR25001065,MOBILE,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,959 W 6TH ST,QUEENSGATE,45203.0,INTERNET,2025 Jan 04 12:00:00 AM,6:02 PM,2025 Jan 13 12:00:00 AM,CLOSED,CLOSED,2025 Jan 13 12:00:00 AM,6:11 AM,2025 Jan 13 12:00:00 AM,6:11 AM,36,1/6/2025,2025 Jan 16 12:00:00 AM,12,,,,,,,,,Y,0,,,959,W,6TH ST,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,2,1.0,2,,39.10043041,-84.53323601,1/4/2025,QUEENSGATE
