SR_NUMBER,USER_ID,SR_TYPE,SR_TYPE_DESC,PRIORITY,GROUP_ID,DEPT_CODE,DEPT_DIVISION,ADDRESS,NEIGHBORHOOD,ZIPCODE,METHOD_RECEIVED,DATE_CREATED,TIME_RECEIVED,DATE_CLOSED,SR_STATUS,SR_STATUS_FLAG,DATE_STATUS_CHANGE,TIME_STATUS_CHANGE,DATE_LAST_UPDATE,TIME_LAST_UPDATE,PLANNED_HOURS_TOSTART_RESPONSE,PLANNED_RESPONSE_TIME,PLANNED_END_DATE,PLANNED_COMPLETION_DAYS,DATE_DISPATCHED,TIME_DISPATCHED,DATE_REVISED_COMPLETION,DATE_REVISED_COMPLETION_REASON,COLLECTION_SPECIAL_DATE,COLLECTION_DAY,COLLECTION_ROUTE,COLLECTION_DIST,TRANSFER_ALLOW,TRANSFERED_NUM_TIMES,PROPTY_CITY_OWNED_YN,PROPTY_CITY_DEPT_OWNER,STREET_NO,STREET_DIRECTION,STREET_NAME,CITY_ID,STRUCTURE_ID,FLOOR_ID,UNIT_ID,MUNITWNSHP,REQUEST_RETURN_CALL,NUM_BULKY_ITEMS,BULKY_ITEM_1,BULKY_ITEM_2,BULKY_ITEM_3,BULKY_ITEM_4,BULKY_ITEM_5,NUM_TIRES,NUM_FREONS,NUM_SOFABEDS,NUM_POTHOLES,POLICE_DISTRICT,POLICE_RPT_AREA,TRASH_RECYCLE_CART_ID,LATITUDE,LONGITUDE,DATE_TIME_RECEIVED,COMMUNITY_COUNCIL_NEIGHBORHOOD
SR25023992,ZGALLION,SMUSTRFL,"FLOODING, IN STREET",,"2,787",CWW,,4025 KELLOGG AV,EAST END,45226.0,,2025 Feb 19 12:00:00 AM,8:46 AM,2025 Feb 19 12:00:00 AM,CLOSED,CLOSED,2025 Feb 19 12:00:00 AM,11:46 AM,2025 Feb 19 12:00:00 AM,11:46 AM,24,2/20/2025,2025 Feb 26 12:00:00 AM,7,,,,,,,,,Y,0,,,"4,025",,KELLOGG AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,2.0,97,,39.10696618,-84.43593289,2/19/2025,COLUMBIA TUSCULUM - EAST END
SR25035325,CCSRWEB,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,1745 LAURELWOOD CIR,COLLEGE HILL,45224.0,INTERNET,2025 Mar 16 12:00:00 AM,4:42 PM,2025 Mar 17 12:00:00 AM,CLOSED,CLOSED,2025 Mar 17 12:00:00 AM,7:43 AM,2025 Mar 17 12:00:00 AM,7:43 AM,24,3/17/2025,2025 Mar 23 12:00:00 AM,7,,,,,,,,,Y,0,,,"1,745",,LAURELWOOD CIR,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.20139422,-84.55243028,3/16/2025,COLLEGE HILL
SR25040737,MOBILE,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,167 MONITOR AV,SAYLER PARK,45233.0,INTERNET,2025 Mar 31 12:00:00 AM,9:07 AM,2025 Mar 31 12:00:00 AM,CLOSED,CLOSED,2025 Mar 31 12:00:00 AM,9:31 AM,2025 Mar 31 12:00:00 AM,9:31 AM,24,4/1/2025,2025 Apr 07 12:00:00 AM,7,,,,,,MONDAY,MON01,3,Y,0,,,167,,MONITOR AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.11383471,-84.69060825,3/31/2025,SAYLER PARK
SR25042208,MOBILE,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,3811 AYLESBORO AV,HYDE PARK,45208.0,INTERNET,2025 Apr 02 12:00:00 AM,5:06 PM,2025 Apr 03 12:00:00 AM,CLOSED,CLOSED,2025 Apr 03 12:00:00 AM,10:37 AM,2025 Apr 03 12:00:00 AM,10:37 AM,24,4/3/2025,2025 Apr 09 12:00:00 AM,7,,,,,,WEDNESDAY,WED26,1,Y,0,,,"3,811",,AYLESBORO AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,2.0,97,,39.14093064,-84.41020375,4/2/2025,HYDE PARK
SR25042894,MOBILE,SMUSTRFL,"FLOODING, IN STREET",STANDARD,"2,787",CWW,,35 E 13TH ST,OVER-THE-RHINE,45202.0,INTERNET,2025 Apr 03 12:00:00 AM,7:01 PM,2025 Apr 10 12:00:00 AM,CLOSED,CLOSED,2025 Apr 10 12:00:00 AM,8:20 AM,2025 Apr 10 12:00:00 AM,8:20 AM,0,4/7/2025,2025 Apr 14 12:00:00 AM,11,,,,,,MONDAY,,,N,1,,,35,E,13TH ST,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,1.0,2,,39.10957332,-84.51355894,4/3/2025,OTR
SR25043517,MOBILE,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,2553 TREVOR PL,NORTH FAIRMOUNT,45225.0,INTERNET,2025 Apr 05 12:00:00 AM,10:40 AM,2025 Apr 07 12:00:00 AM,CLOSED,CLOSED,2025 Apr 07 12:00:00 AM,1:44 PM,2025 Apr 07 12:00:00 AM,1:44 PM,24,4/6/2025,2025 Apr 12 12:00:00 AM,7,,,,,,THURSDAY,,,Y,0,,,"2,553",,TREVOR PL,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.13260508,-84.55404737,4/5/2025,NORTH FAIRMOUNT
SR25043781,MOBILE,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,5100 WOOSTER RD,LINWOOD,45226.0,INTERNET,2025 Apr 06 12:00:00 AM,12:46 PM,2025 Apr 07 12:00:00 AM,CLOSED,CLOSED,2025 Apr 07 12:00:00 AM,1:50 PM,2025 Apr 07 12:00:00 AM,1:50 PM,24,4/7/2025,2025 Apr 13 12:00:00 AM,7,,,,,,,,,Y,0,,,"5,100",,WOOSTER RD,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,2.0,97,,39.12512872,-84.4110297,4/6/2025,LINWOOD
SR25044315,CCSRWEB,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,2934 KLING AV,WESTWOOD,45211.0,INTERNET,2025 Apr 07 12:00:00 AM,2:53 PM,2025 Apr 22 12:00:00 AM,CLOSED,CLOSED,2025 Apr 22 12:00:00 AM,8:38 AM,2025 Apr 22 12:00:00 AM,8:38 AM,24,4/8/2025,2025 Apr 14 12:00:00 AM,7,,,,,,THURSDAY,THU08,2,Y,0,,,"2,934",,KLING AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.14799816,-84.59565427,4/7/2025,WESTWOOD
SR25050449,MOBILE,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,3190 WOODFORD RD,PLEASANT RIDGE,45213.0,INTERNET,2025 Apr 20 12:00:00 AM,7:56 PM,2025 Apr 24 12:00:00 AM,CLOSED,CLOSED,2025 Apr 24 12:00:00 AM,12:58 PM,2025 Apr 24 12:00:00 AM,12:58 PM,24,4/21/2025,2025 Apr 27 12:00:00 AM,7,,,,,,TUESDAY,,,Y,0,,,"3,190",,WOODFORD RD,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,2.0,97,,39.18128366,-84.42832969,4/20/2025,PLEASANT RIDGE
SR25050690,CCSRWEB,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,3541 VINE ST,CLIFTON,45220.0,INTERNET,2025 Apr 21 12:00:00 AM,11:34 AM,2025 Apr 24 12:00:00 AM,CLOSED,CLOSED,2025 Apr 24 12:00:00 AM,12:58 PM,2025 Apr 24 12:00:00 AM,12:58 PM,24,4/22/2025,2025 Apr 28 12:00:00 AM,7,,,,,,TUESDAY,TUE02,3,Y,0,,,"3,541",,VINE ST,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,4.0,99,,39.14683771,-84.5132825,4/21/2025,CLIFTON
SR25052771,CCSRWEB,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,2477 WARSAW AV,EAST PRICE HILL,45204.0,INTERNET,2025 Apr 25 12:00:00 AM,9:30 AM,2025 Apr 28 12:00:00 AM,CLOSED,CLOSED,2025 Apr 28 12:00:00 AM,7:36 AM,2025 Apr 28 12:00:00 AM,7:36 AM,24,4/26/2025,2025 May 02 12:00:00 AM,7,,,,,,MONDAY,,,Y,0,,,"2,477",,WARSAW AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.10748008,-84.55566485,4/25/2025,EAST PRICE HILL
SR25053984,CCSRWEB,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,3309 S WOODMONT AV,PLEASANT RIDGE,45213.0,INTERNET,2025 Apr 28 12:00:00 AM,5:06 PM,2025 Apr 29 12:00:00 AM,CLOSED,CLOSED,2025 Apr 29 12:00:00 AM,8:42 AM,2025 Apr 29 12:00:00 AM,8:42 AM,24,4/29/2025,2025 May 05 12:00:00 AM,7,,,,,,TUESDAY,TUE25,2,Y,0,,,"3,309",S,WOODMONT AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,2.0,97,,39.17721368,-84.42419565,4/28/2025,PLEASANT RIDGE
SR25056468,MOBILE,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,3702 SPRING GROVE AV,NORTHSIDE,45223.0,INTERNET,2025 May 03 12:00:00 AM,12:09 PM,2025 May 06 12:00:00 AM,CLOSED,CLOSED,2025 May 06 12:00:00 AM,9:18 AM,2025 May 06 12:00:00 AM,9:18 AM,24,5/4/2025,2025 May 10 12:00:00 AM,7,,,,,,THURSDAY,,,Y,0,,,"3,702",,SPRING GROVE AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.15411171,-84.54223845,5/3/2025,NORTHSIDE -SOUTH CUMMINSVILLE
SR25061851,CCSRWEB,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,4999 MADISON RD,MADISONVILLE,45227.0,INTERNET,2025 May 15 12:00:00 AM,11:31 AM,2025 May 20 12:00:00 AM,CLOSED,CLOSED,2025 May 20 12:00:00 AM,10:18 AM,2025 May 20 12:00:00 AM,10:18 AM,24,5/16/2025,2025 May 22 12:00:00 AM,7,,,,,,WEDNESDAY,WED25,1,Y,0,,,"4,999",,MADISON RD,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,2.0,97,,39.16127274,-84.41133864,5/15/2025,MADISONVILLE
SR25062224,MOBILE,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,7063 FORBES RD,SAYLER PARK,45233.0,INTERNET,2025 May 16 12:00:00 AM,6:41 AM,2025 May 16 12:00:00 AM,CLOSED,CLOSED,2025 May 16 12:00:00 AM,10:16 AM,2025 May 16 12:00:00 AM,10:16 AM,24,5/17/2025,2025 May 23 12:00:00 AM,7,,,,,,,,,Y,0,,,"7,063",,FORBES RD,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.12273429,-84.70417105,5/16/2025,SAYLER PARK
SR25071320,WISAACS,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,3923 OAK PARK PL,OAKLEY,45209.0,311 CALL,2025 Jun 06 12:00:00 AM,10:05 PM,2025 Sep 03 12:00:00 AM,CLOSED,CLOSED,2025 Sep 03 12:00:00 AM,8:29 AM,2025 Sep 03 12:00:00 AM,8:29 AM,0,6/25/2025,2025 Jul 02 12:00:00 AM,26,,,,,,WEDNESDAY,WED24,1,Y,1,,,"3,923",,OAK PARK PL,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,2.0,97,,39.14856029,-84.42891694,6/6/2025,OAKLEY
SR25071317,MOBILE,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,4318 NORMANDY AV,MADISONVILLE,45227.0,INTERNET,2025 Jun 06 12:00:00 AM,9:22 PM,2025 Jun 09 12:00:00 AM,CLOSED,CLOSED,2025 Jun 09 12:00:00 AM,8:17 AM,2025 Jun 09 12:00:00 AM,8:17 AM,24,6/7/2025,2025 Jun 13 12:00:00 AM,7,,,,,,WEDNESDAY,WED27,1,Y,0,,,"4,318",,NORMANDY AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,2.0,97,,39.1524477,-84.39266594,6/6/2025,MADISONVILLE
SR25071518,ACOTTERMAN,SMUSTRFL,"FLOODING, IN STREET",STANDARD,"2,787",CWW,,1272 W MEHRING WY,QUEENSGATE,45203.0,311 CALL,2025 Jun 08 12:00:00 AM,1:22 AM,2025 Jun 09 12:00:00 AM,CLOSED,CLOSED,2025 Jun 09 12:00:00 AM,9:00 AM,2025 Jun 09 12:00:00 AM,9:00 AM,24,6/9/2025,2025 Jun 15 12:00:00 AM,7,,,,,,,,,Y,0,,,"1,272",W,MEHRING WY,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,1.0,2,,39.10013344,-84.53966338,6/8/2025,QUEENSGATE
SR25076305,MOBILE,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,3828 AULT PARK AV,HYDE PARK,45208.0,INTERNET,2025 Jun 18 12:00:00 AM,7:47 PM,2025 Jun 23 12:00:00 AM,CLOSED,CLOSED,2025 Jun 23 12:00:00 AM,8:05 AM,2025 Jun 23 12:00:00 AM,8:05 AM,24,6/19/2025,2025 Jun 25 12:00:00 AM,7,,,,,,WEDNESDAY,WED26,1,Y,0,,,"3,828",,AULT PARK AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,2.0,97,,39.14009999,-84.40944767,6/18/2025,HYDE PARK
SR25082666,MOBILE,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,5988 BAGDAD DR,MT. WASHINGTON,45230.0,INTERNET,2025 Jul 02 12:00:00 AM,6:47 PM,2025 Jul 17 12:00:00 AM,CLOSED,CLOSED,2025 Jul 17 12:00:00 AM,10:01 AM,2025 Jul 17 12:00:00 AM,10:01 AM,24,7/3/2025,2025 Jul 09 12:00:00 AM,7,,,,,,WEDNESDAY,WED11,2,Y,0,,,"5,988",,BAGDAD DR,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,2.0,97,,39.09299848,-84.39842861,7/2/2025,MOUNT WASHINGTON
SR25085672,MOBILE,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,3641 MICHIGAN AV,HYDE PARK,45208.0,INTERNET,2025 Jul 09 12:00:00 AM,4:28 PM,2025 Jul 17 12:00:00 AM,CLOSED,CLOSED,2025 Jul 17 12:00:00 AM,9:25 AM,2025 Jul 17 12:00:00 AM,9:25 AM,24,7/10/2025,2025 Jul 16 12:00:00 AM,7,,,,,,WEDNESDAY,WED16,3,Y,0,,,"3,641",,MICHIGAN AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,2.0,97,,39.14386063,-84.44163231,7/9/2025,HYDE PARK
SR25086711,JWAGONER,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,3252 STANHOPE AV,WESTWOOD,45211.0,311 CALL,2025 Jul 11 12:00:00 AM,1:50 PM,2025 Jul 21 12:00:00 AM,CLOSED,CLOSED,2025 Jul 21 12:00:00 AM,12:48 PM,2025 Jul 21 12:00:00 AM,12:48 PM,0,7/21/2025,2025 Jul 28 12:00:00 AM,17,,,,,,THURSDAY,THU03,2,Y,1,,,"3,252",,STANHOPE AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.14611302,-84.61417116,7/11/2025,WESTWOOD
SR25088943,MOBILE,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,1535 PULLAN AV,NORTHSIDE,45223.0,INTERNET,2025 Jul 16 12:00:00 AM,5:48 PM,2025 Jul 17 12:00:00 AM,CLOSED,CLOSED,2025 Jul 17 12:00:00 AM,8:12 AM,2025 Jul 17 12:00:00 AM,8:12 AM,24,7/17/2025,2025 Jul 23 12:00:00 AM,7,,,,,,THURSDAY,THU16,3,Y,0,,,"1,535",,PULLAN AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.16552706,-84.53809325,7/16/2025,NORTHSIDE
SR25090241,MOBILE,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,3659 VINEYARD PL,COLUMBIA TUSCULUM,45226.0,INTERNET,2025 Jul 19 12:00:00 AM,4:36 PM,2025 Jul 21 12:00:00 AM,CLOSED,CLOSED,2025 Jul 21 12:00:00 AM,8:28 AM,2025 Jul 21 12:00:00 AM,8:28 AM,24,7/20/2025,2025 Jul 26 12:00:00 AM,7,,,,,,WEDNESDAY,WED06,2,Y,0,,,"3,659",,VINEYARD PL,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,2.0,97,,39.11783321,-84.42786268,7/19/2025,COLUMBIA TUSCULUM
SR25090274,DBENNETT,SMUSTRFL,"FLOODING, IN STREET",STANDARD,"2,787",CWW,,8377 ANTHONY WAYNE AV,HARTWELL,45216.0,311 CALL,2025 Jul 19 12:00:00 AM,7:19 PM,2025 Jul 21 12:00:00 AM,CLOSED,CLOSED,2025 Jul 21 12:00:00 AM,8:28 AM,2025 Jul 21 12:00:00 AM,8:28 AM,24,7/20/2025,2025 Jul 26 12:00:00 AM,7,,,,,,TUESDAY,,,Y,0,,,"8,377",,ANTHONY WAYNE AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,4.0,99,,39.21488806,-84.46315376,7/19/2025,HARTWELL
SR25090538,ACOTTERMAN,SMUSTRFL,"FLOODING, IN STREET",STANDARD,"2,787",CWW,,6552 RIVER RD,SAYLER PARK,45233.0,311 CALL,2025 Jul 20 12:00:00 AM,11:18 PM,2025 Jul 21 12:00:00 AM,CLOSED,CLOSED,2025 Jul 21 12:00:00 AM,8:23 AM,2025 Jul 21 12:00:00 AM,8:23 AM,24,7/21/2025,2025 Jul 27 12:00:00 AM,7,,,,,,,,,Y,0,,,"6,552",,RIVER RD,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.11118078,-84.69283115,7/20/2025,SAYLER PARK
SR25090516,CCSRWEB,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,270 MONITOR AV,SAYLER PARK,45233.0,INTERNET,2025 Jul 20 12:00:00 AM,8:58 PM,2025 Jul 21 12:00:00 AM,CLOSED,CLOSED,2025 Jul 21 12:00:00 AM,8:24 AM,2025 Jul 21 12:00:00 AM,8:24 AM,24,7/21/2025,2025 Jul 27 12:00:00 AM,7,,,,,,MONDAY,MON01,3,Y,0,,,270,,MONITOR AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.1155122,-84.68700453,7/20/2025,SAYLER PARK
SR25090449,CCSRWEB,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,3650 WILSHIRE AV,HYDE PARK,45208.0,INTERNET,2025 Jul 20 12:00:00 AM,4:20 PM,2025 Jul 21 12:00:00 AM,CLOSED,CLOSED,2025 Jul 21 12:00:00 AM,8:24 AM,2025 Jul 21 12:00:00 AM,8:24 AM,24,7/21/2025,2025 Jul 27 12:00:00 AM,7,,,,,,WEDNESDAY,WED26,1,Y,0,,,"3,650",,WILSHIRE AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,2.0,97,,39.14153978,-84.41290051,7/20/2025,HYDE PARK
